date;GDP;Cons;Inv;Lab;Hours;Infl;Wage;FFR;CB_Bonds;CB_Loans;CBL;CB_Bonds_10Y;BAASpread;GZSpread;ACMTP10;R10obs
1-apr-99;0.457477657;0.979766468;0.44903834;5.418368871;-0.000940738;0.361540423;0.050631711;1.186666667;0;0;0;0;0.55;0.4114;0.373101184;1.4525
1-jul-99;0.991487471;0.960615935;1.6082785;5.473434934;0.000805016;0.341929943;0.529879997;1.273333333;0;0;0;0;0.554166667;0.473875;0.407468204;1.475
01-Oct-1999;1.120569533;1.172155128;1.205771189;5.531128206;-0.00016483;0.536082413;1.454930815;1.326666667;0;0;0;0;0.525;0.491291667;0.435644787;1.6125
1-jan-00;-0.21209665;0.690099559;0.224515792;6.688041419;-0.001290492;0.678039015;2.793338427;1.419166667;0;0;0;0;0.4625;0.537775;0.195539677;1.5075
1-apr-00;1.235588695;0.780505635;2.449273587;6.155049192;-0.001564406;0.604145827;-0.357302447;1.568333333;0;0;0;0;0.604166667;0.676975;0.221110119;1.5075
1-jul-00;-0.444971189;0.529475586;-1.35104259;5.199061367;-0.001196818;0.568598097;1.361623495;1.63;0;0;0;0;0.606666667;0.754233333;0.233952284;1.45
01-Oct-2000;0.325817218;0.73303387;-0.438901224;5.08293758;-0.003491596;0.527282285;0.029226;1.618333333;0;0;0;0;0.661666667;0.917825;0.179483849;1.28
1-jan-01;-0.577341603;0.157157452;-3.788268484;4.874129042;-0.004308115;0.609144082;1.621222407;1.398333333;0;0;0;0;0.7075;0.8174;0.332256846;1.2325
1-apr-01;0.290795317;0.038000439;-1.090876525;3.825125199;-0.004405597;0.602946057;-0.200195704;1.081666667;0;0;0;0;0.691666667;0.763858333;0.449072753;1.355
1-jul-01;-0.713435756;-0.308762191;-1.522588967;2.964305268;-0.003287317;0.402037025;-0.264916941;0.874166667;0;0;0;0;0.7425;0.789991667;0.514141049;1.15
01-Oct-2001;-0.024724438;-0.010509539;-1.424292958;1.911029992;-0.002356133;0.32944025;0.58814906;0.533333333;0;0;0;0;0.788333333;0.770516667;0.607150604;1.2675
1-jan-02;0.584471569;0.269688866;0.882142025;1.635731986;0.000287389;0.329600239;0.123325735;0.433333333;0;0;0;0;0.72;0.706391667;0.609201386;1.355
1-apr-02;0.322449341;0.810647787;0.111048366;1.835843474;0.004320686;0.356979444;0.508932756;0.4375;0;0;0;0;0.730833333;0.721858333;0.593170219;1.215
1-jul-02;0.163081918;0.274390585;0.089412642;1.78473045;-0.002162953;0.460452006;0.045823503;0.435;0;0;0;0;0.841666667;1.02595;0.502361804;0.9075
01-Oct-2002;-0.240200417;0.476384946;-1.174916408;1.079216153;-0.000395566;0.564945499;-0.302691716;0.360833333;0;1.38957E-05;7.22578E-05;0;0.898333333;0.983291667;0.554797384;0.9575
1-jan-03;0.145792053;0.663764703;-0.65226172;1.052368982;-0.004550352;0.453327104;0.169285722;0.3125;0.161682113;8.94174E-05;0.000125872;0;0.8;0.848133333;0.543866556;0.9575
1-apr-03;0.442131911;0.101957876;0.829311741;0.494505754;0.000218573;0.293382076;1.426965244;0.311666667;0.233090021;8.83949E-05;0.000480052;0;0.713333333;0.663508333;0.487334888;0.885
1-jul-03;1.26079532;0.91836742;2.52667645;-0.009466851;-0.00102373;0.540679468;0.928441274;0.254166667;0.151279501;8.64504E-05;0.001427762;0;0.643333333;0.597525;0.572985258;0.99
01-Oct-2003;0.887692048;0.386031317;2.104124404;0.463532671;0.001321706;0.58946727;0.804847196;0.249166667;0.120214499;6.06907E-05;0.000657887;0;0.594166667;0.496041667;0.586267019;1.0675
1-jan-04;0.285056399;0.736146535;0.258886035;0.4708188;0.002113086;0.741227551;-0.927549534;0.250833333;0.122512567;0;0.000656289;0;0.563333333;0.466325;0.519999455;0.965
1-apr-04;0.515418034;0.41957046;2.31332869;0.426264915;-0.004887702;0.812722802;1.105255125;0.2525;0.11515814;0;0.001157437;0;0.515833333;0.457066667;0.53825071;1.155
1-jul-04;0.701111194;0.684520939;1.330127259;0.643498237;0.000846129;0.651099257;1.107733811;0.358333333;0.141686291;0;0.002278931;0;0.536666667;0.4493;0.409650084;1.035
01-Oct-2004;0.696986457;0.852977108;1.650112538;0.892402265;5.96997E-05;0.768297605;-0.335832621;0.4875;0.172674299;0;0.000807782;0;0.503333333;0.40135;0.334347966;1.06
1-jan-05;0.799911455;0.192961428;1.698414777;0.777010883;-0.002291043;0.789066458;-0.095145233;0.6175;0.124168955;0;0.000547326;0;0.4175;0.441091667;0.244606414;1.125
1-apr-05;0.155879294;0.609583182;-0.491965477;1.250987127;0.001982556;0.697863687;-0.111551093;0.735833333;0.091795273;0;0.00105702;0;0.453333333;0.547466667;0.089127181;0.985
1-jul-05;0.579339184;0.943730175;0.669279019;1.479831112;-0.001354487;0.900571944;0.340768557;0.865;0.041871658;0;0.005312034;0;0.441666667;0.472133333;0.10802191;1.085
01-Oct-2005;0.329135395;0.608333692;0.969508861;1.595818764;0.002190167;0.801039048;-0.180159602;0.995;0.06385356;0;0.001110662;0;0.461666667;0.540225;0.05555299;1.0975
1-jan-06;1.017170973;0.349647442;1.725578251;1.886218669;0.00107342;0.69596443;1.280244989;1.114166667;0.021266986;0;0.001955317;0;0.434166667;0.494308333;0.114358313;1.215
1-apr-06;-0.067166455;0.422690421;-1.273286617;2.212237239;-0.000874552;0.83259775;-0.762736073;1.226666667;0.040229776;0;0.003429978;0;0.416666667;0.461125;0.13959955;1.2875
1-jul-06;-0.140933454;0.380490667;-0.69626145;2.150721384;0.002889071;0.697601161;-0.540590609;1.311666667;0.025833379;0;0.004150832;0;0.424166667;0.478025;0.066930614;1.16
01-Oct-2006;0.51278187;0.095031321;-1.355868885;2.643447326;-0.000426382;0.368458629;1.3779887;1.311666667;-0.001314099;0;0.002058811;0;0.4125;0.438716667;0.068040897;1.1775
1-jan-07;-0.096786001;0.283721462;-1.3484552;2.477553373;-0.002403036;0.978514626;1.438228294;1.314166667;-0.012894621;0;0.002519065;0;0.404166667;0.403966667;0.100491584;1.1625
1-apr-07;0.241415072;0.079101746;0.101959449;2.051573526;0.001162519;0.644535923;-0.700288472;1.3125;-0.021511681;0;0.001121031;0;0.411666667;0.407433333;0.151975911;1.2575
1-jul-07;0.214022035;0.366946353;-1.023269923;1.688361738;-0.001779103;0.513300997;-0.119240331;1.268333333;-0.087835257;0;0.008232117;0;0.475;0.579916667;0.234330727;1.1475
01-Oct-2007;0.394015167;0.786287832;-1.638974945;1.700731855;-0.002310597;0.396943309;0.695818835;1.124166667;-0.210551839;0;0.027540152;0;0.5625;0.672;0.29684742;1.01
1-jan-08;-0.783560426;0.553031077;-3.777202742;1.251855651;-0.000827934;0.368636357;0.61986839;0.794166667;-0.679207742;0;0.529615366;0;0.771666667;0.909291667;0.474521906;0.8625
