date,gz_spread,ebp,est_prob
AUG2018,1.5081,-0.1872,0.1476772975
SEP2018,1.4146,-0.2741,0.1242684213
OCT2018,1.5710,-0.0684,0.1841691714
NOV2018,1.7738,0.0691,0.2328052153
DEC2018,2.0583,0.2733,0.3165872597
JAN2019,1.8167,0.1236,0.2539071381
FEB2019,1.6259,0.0090,0.2107089154
MAR2019,1.6604,-0.2173,0.1392522128
APR2019,1.5545,-0.0705,0.1834698767
MAY2019,1.7968,-0.1066,0.1718622623
JUN2019,1.6670,-0.0663,0.184854413
JUL2019,1.6068,-0.1156,0.1690381289
AUG2019,1.7808,-0.2770,0.1235530469
SEP2019,1.6939,-0.3546,0.1050270246
OCT2019,1.6744,-0.3411,0.108092395
NOV2019,1.5976,-0.2927,0.1196277284
DEC2019,1.4529,-0.3719,0.1012004379
JAN2020,1.6323,-0.3797,0.0995004379
FEB2020,1.9531,-0.3099,0.1154422088
MAR2020,3.8208,1.0738,0.6957687109
